Date,First,Second,Third,Most_Recent
1965:Q3,#N/A,-13.904,-13.904,1.933
1965:Q4,-9.749,-9.749,-9.749,-7.561
1966:Q1,#N/A,12.683,12.683,10.422
1966:Q2,#N/A,-14.012,-14.012,-27.680
1966:Q3,#N/A,-41.095,-41.095,-12.662
1966:Q4,-41.871,-41.871,-41.871,-35.812
1967:Q1,#N/A,0.000,0.000,-10.544
1967:Q2,#N/A,25.205,25.205,54.754
1967:Q3,#N/A,34.295,34.295,23.033
1967:Q4,36.664,29.126,29.126,25.163
1968:Q1,#N/A,7.840,7.840,1.218
1968:Q2,#N/A,0.000,-1.728,10.190
1968:Q3,#N/A,-8.452,-8.452,8.362
1968:Q4,31.781,29.598,29.598,5.608
1969:Q1,#N/A,0.000,0.000,14.094
1969:Q2,#N/A,-12.387,-12.387,-3.674
1969:Q3,#N/A,-18.693,-18.693,-3.165
1969:Q4,3.587,1.782,1.782,-24.807
1970:Q1,-19.527,-19.527,-19.527,0.302
1970:Q2,-12.856,-12.856,-12.856,-22.387
1970:Q3,-1.985,0.000,0.000,25.196
1970:Q4,38.586,43.766,43.766,46.895
1971:Q1,44.234,46.653,46.653,22.334
1971:Q2,26.713,32.640,32.640,44.293
1971:Q3,6.200,35.820,35.820,19.727
1971:Q4,8.754,10.267,10.267,16.349
1972:Q1,37.444,37.444,37.444,28.752
1972:Q2,0.000,2.360,2.360,7.759
1972:Q3,7.161,8.391,8.391,1.838
1972:Q4,14.393,15.658,15.658,14.901
1973:Q1,10.263,11.450,11.450,14.044
1973:Q2,-3.328,-3.328,-3.328,-19.199
1973:Q3,-7.699,-8.762,-8.762,-16.051
1973:Q4,-38.112,-38.917,-38.917,-16.992
1974:Q1,-31.967,-36.748,-36.748,-23.602
1974:Q2,-8.786,-10.192,-10.192,-15.135
1974:Q3,-28.893,-28.893,-28.893,-12.700
1974:Q4,-44.169,-44.169,-44.169,-42.789
1975:Q1,-45.846,-48.279,-48.279,-20.695
1975:Q2,2.332,4.705,4.705,11.647
1975:Q3,47.937,51.027,51.027,29.069
1975:Q4,31.596,31.596,31.596,18.318
1976:Q1,14.486,13.402,13.402,43.632
1976:Q2,16.334,15.322,15.322,10.283
1976:Q3,10.924,15.731,15.731,-6.064
1976:Q4,37.201,35.074,35.074,57.884
1977:Q1,6.411,3.972,3.972,12.440
1977:Q2,41.719,42.708,42.708,51.681
1977:Q3,1.396,-0.693,-0.693,-1.225
1977:Q4,16.986,16.986,17.770,-4.663
1978:Q1,-5.876,-5.236,-3.947,3.800
1978:Q2,4.095,4.095,2.716,20.551
1978:Q3,-1.329,-1.329,-1.329,4.714
1978:Q4,0.672,3.392,4.081,-0.717
1979:Q1,-13.814,-16.163,-14.406,-9.368
1979:Q2,-5.432,-3.421,-6.754,-6.913
1979:Q3,-4.848,-0.704,-1.404,-4.793
1979:Q4,-10.204,-4.181,-4.864,-15.035
1980:Q1,-19.832,-24.582,-26.307,-27.410
1980:Q2,-60.060,-61.593,-61.593,-55.994
1980:Q3,5.005,15.577,15.697,12.963
1980:Q4,54.059,66.811,64.200,42.839
1981:Q1,0.793,1.590,3.200,-9.458
1981:Q2,-20.218,-20.878,-22.833,-12.103
1981:Q3,-33.285,-32.665,-36.321,-27.614
1981:Q4,-26.772,-28.244,-27.511,-35.719
1982:Q1,-10.709,-4.980,-9.772,-21.144
1982:Q2,3.121,10.686,12.922,-12.264
1982:Q3,4.050,6.121,-5.852,-0.492
1982:Q4,24.210,34.019,39.136,35.710
1983:Q1,83.051,80.134,81.588,88.754
1983:Q2,60.337,75.906,78.607,55.288
1983:Q3,36.932,30.317,35.972,45.082
1983:Q4,-4.839,2.130,-6.859,18.083
1984:Q1,31.027,25.838,26.692,12.448
1984:Q2,9.566,1.995,1.327,7.203
1984:Q3,2.658,-4.526,-4.526,-4.581
1984:Q4,-1.982,-5.219,-5.857,0.394
1985:Q1,-0.674,1.358,5.516,0.985
1985:Q2,14.015,5.441,6.136,3.371
1985:Q3,10.931,11.642,8.514,7.690
1985:Q4,8.582,6.387,5.662,9.063
1986:Q1,9.677,5.346,9.677,17.246
1986:Q2,15.419,13.518,14.466,25.001
1986:Q3,7.247,9.673,9.673,5.537
1986:Q4,4.328,6.226,5.168,1.092
1987:Q1,-7.208,-4.334,-4.721,-0.666
1987:Q2,-0.403,-2.202,-2.796,1.428
1987:Q3,-0.203,-5.960,-6.541,-3.289
1987:Q4,5.915,8.090,7.434,0.673
1988:Q1,-9.396,-9.396,-8.829,-6.937
1988:Q2,2.772,1.060,0.211,5.043
1988:Q3,1.272,3.202,4.287,0.253
1988:Q4,12.670,10.854,10.854,2.551
1989:Q1,-3.612,-5.381,-4.598,-3.796
1989:Q2,-13.565,-12.644,-12.274,-11.936
1989:Q3,-4.772,-8.386,-9.175,-1.820
1989:Q4,2.623,-0.648,-1.078,-8.236
1990:Q1,8.506,10.832,9.664,3.539
1990:Q2,-13.491,-10.792,-11.182,-14.814
1990:Q3,-15.429,-19.223,-19.781,-19.857
1990:Q4,-15.433,-18.450,-20.611,-21.135
1991:Q1,-26.504,-24.143,-25.331,-19.527
1991:Q2,3.740,2.661,1.590,12.952
1991:Q3,20.581,11.892,10.883,14.179
1991:Q4,10.595,13.059,12.316,8.145
1992:Q1,15.831,8.398,11.709,24.895
1992:Q2,8.674,8.903,12.626,14.440
1992:Q3,0.419,0.839,0.209,0.184
1992:Q4,29.065,26.054,25.062,16.180
1993:Q1,0.198,-0.198,1.391,0.266
1993:Q2,-9.494,-8.424,-9.482,5.424
1993:Q3,10.058,10.894,11.946,15.814
1993:Q4,31.665,30.971,31.665,22.211
1994:Q1,9.098,7.602,8.535,6.066
1994:Q2,6.960,7.327,6.960,13.600
1994:Q3,-7.156,-6.507,-6.018,-5.764
1994:Q4,-2.581,0.697,2.278,-5.996
1995:Q1,-6.570,-2.567,-3.411,-8.841
1995:Q2,-14.167,-13.231,-13.700,-11.717
1995:Q3,10.908,10.908,8.356,15.669
1995:Q4,#N/A,4.496,6.401,7.935
1996:Q1,4.426,6.615,7.404,10.813
1996:Q2,15.099,15.921,16.251,18.692
1996:Q3,-5.700,-5.836,-5.155,-0.880
1996:Q4,-1.290,-0.288,-1.717,-4.494
1997:Q1,5.459,5.911,6.668,2.105
1997:Q2,5.679,7.058,7.367,5.682
1997:Q3,2.907,3.791,2.760,3.935
1997:Q4,10.377,9.764,9.152,4.345
1998:Q1,17.692,16.121,16.904,8.505
1998:Q2,13.204,14.830,14.979,14.577
1998:Q3,6.901,8.543,9.926,12.277
1998:Q4,10.092,10.500,9.957,9.703
1999:Q1,15.653,15.378,15.378,1.621
1999:Q2,5.096,7.716,7.213,6.375
1999:Q3,-6.288,-4.871,-3.850,3.005
1999:Q4,-1.168,1.071,1.825,2.982
2000:Q1,6.635,5.194,5.194,2.008
2000:Q2,3.934,0.000,1.299,-2.091
2000:Q3,-9.218,-10.607,-10.607,-6.028
2000:Q4,-2.515,-3.487,-3.594,0.380
2001:Q1,3.271,2.815,3.499,1.718
2001:Q2,7.383,5.696,5.920,6.381
2001:Q3,1.810,2.454,2.347,2.503
2001:Q4,-6.460,-4.951,-4.647,-2.563
2002:Q1,15.746,14.564,14.564,13.810
2002:Q2,4.884,2.208,2.633,10.281
2002:Q3,-0.723,2.088,1.040,1.177
2002:Q4,6.888,9.408,9.408,7.443
2003:Q1,12.025,11.038,10.058,7.489
2003:Q2,6.051,4.513,6.568,6.463
2003:Q3,20.431,#N/A,21.942,24.958
2003:Q4,10.534,8.627,7.887,12.454
2004:Q1,2.067,3.774,4.558,4.771
2004:Q2,15.418,14.763,16.489,13.364
2004:Q3,3.087,1.786,1.642,2.861
2004:Q4,0.283,2.137,3.364,5.641
2005:Q1,5.727,8.756,11.469,9.756
2005:Q2,9.791,9.791,10.823,7.636
2005:Q3,4.755,8.395,7.335,4.475
2005:Q4,3.454,2.582,2.783,-0.904
2006:Q1,2.631,3.030,3.296,-3.676
2006:Q2,-6.312,-9.833,-11.143,-18.673
2006:Q3,-17.387,-18.020,-18.649,-20.524
2006:Q4,-19.200,-19.140,-19.796,-17.367
2007:Q1,-17.023,-15.401,-15.727,-17.039
2007:Q2,-9.222,-11.551,-11.767,-15.091
2007:Q3,-20.121,-19.707,-20.533,-23.153
2007:Q4,-23.915,-25.243,-25.173,-29.313
2008:Q1,-26.631,-25.521,-24.548,-27.941
2008:Q2,-15.600,-15.784,-13.277,-16.433
2008:Q3,-19.123,-17.636,-16.129,-18.273
2008:Q4,-23.582,-22.186,-22.747,-33.320
2009:Q1,-38.040,-38.711,-38.795,-33.225
2009:Q2,-29.261,-22.848,-23.205,-21.875
2009:Q3,23.281,19.520,18.857,20.999
2009:Q4,5.679,4.985,3.722,0.304
2010:Q1,-10.879,-10.676,-10.271,-12.233
2010:Q2,27.779,27.054,25.612,23.191
2010:Q3,-29.063,-27.460,-27.280,-30.739
2010:Q4,3.383,2.750,3.256,7.826
2011:Q1,-4.108,-3.273,-1.949,-0.744
2011:Q2,3.790,3.406,4.175,5.339
2011:Q3,2.363,1.613,1.239,8.147
2011:Q4,10.865,11.531,11.664,11.645
2012:Q1,19.044,19.317,20.001,27.503
2012:Q2,9.768,8.918,8.434,3.647
2012:Q3,14.413,14.290,13.553,10.728
2012:Q4,15.254,17.428,17.550,22.224
2013:Q1,12.567,12.002,14.045,14.759
2013:Q2,13.355,12.889,14.196,11.930
2013:Q3,14.617,12.989,10.313,6.100
2013:Q4,-9.795,-8.752,-7.926,-4.511
2014:Q1,-5.761,-5.055,-4.186,-2.820
2014:Q2,7.540,7.192,8.764,13.245
2014:Q3,1.869,2.690,3.268,4.446
2014:Q4,4.064,3.323,3.816,10.880
2015:Q1,1.275,4.927,6.415,11.421
2015:Q2,6.639,7.790,9.368,11.671
2015:Q3,6.089,7.291,8.178,10.634
2015:Q4,8.173,7.935,10.091,7.342
2016:Q1,14.867,17.154,15.598,13.420
2016:Q2,-6.114,-7.692,-7.754,-4.763
2016:Q3,-6.236,-4.410,-4.147,-4.492
2016:Q4,10.187,9.598,9.598,7.080
2017:Q1,13.670,13.744,12.933,11.080
2017:Q2,-6.821,-6.507,-7.321,-7.321
2017:Q3,-5.988,-5.084,-4.695,-4.695
2017:Q4,11.653,13.066,12.767,12.767
2018:Q1,0.066,-1.969,#N/A,-1.969
,,,,
,,,,
,,,,
,,,,
,,,,